PAWellID,County,Municipality,QuadName,WellAddress,WellZipCode,DateDrilled,TypeOfActivity,LatitudeDD,LongitudeDD,Driller,OriginalOwner,WellUse,WaterUse,WellDepth(ft),TopOfCasing(ft),BottomOfCasing(ft),CasingDiameter(in),DepthToBedrock(ft),BedrockNotReached,WellYield(gpm),StaticWaterLevel(ft),WaterLevelAfterYieldTest(ft),LengthOfTest(min),YieldMeasurementMethod,SaltwaterZone(ft),FormationName,PaperImageLink,Remark,
476685 ,ALLEGHENY ,BRADDOCK BORO ,BRADDOCK ,100 TALBOT AVENUE ,15104 ,12/28/2007 ,NEW WELL ,40.40556 ,-79.87694 , ALLPROBE ENVIRONMENTAL INC. ,LIBERTY TIRE ,MONITORING ,OTHER ,20 ,0 ,15 ,0.17 , ,True , , , , , , , , , ,
476684 ,ALLEGHENY ,BRADDOCK BORO ,BRADDOCK ,100 TALBOT AVENUE ,15104 ,12/28/2007 ,NEW WELL ,40.40639 ,-79.87722 , ALLPROBE ENVIRONMENTAL INC. ,LIBERTY TIRE ,MONITORING ,OTHER ,15.5 ,0 ,10.5 ,0.17 , ,True , , , , , , , , , ,
476698 ,ALLEGHENY ,BRADDOCK BORO ,BRADDOCK ,100 TALBOT AVENUE ,15104 ,12/28/2007 ,NEW WELL ,40.40583 ,-79.87722 , ALLPROBE ENVIRONMENTAL INC. ,LIBERTY TIRE ,MONITORING ,OTHER ,20 ,0 ,15 ,0.17 , ,True , , , , , , , , , ,
511591 ,ALLEGHENY ,FINDLAY TWP. , ,S.R. 30 ,      ,12/27/2013 ,NEW WELL ,40.49357 ,-80.31118 , TERRA TESTING INC. ,Marada Golf Course ,MONITORING , ,25 ,0 ,10 ,2 , ,False , ,21 , , , , , , , ,
511590 ,ALLEGHENY ,FINDLAY TWP. , ,S.R. 30 ,      ,12/27/2013 ,NEW WELL ,40.4936 ,-80.31082 , TERRA TESTING INC. ,Marada Golf Course ,MONITORING , ,28 ,0 ,13 ,2 , ,False , ,24 , , , , , , , ,
487733 ,ALLEGHENY ,ETNA BORO , ,488 Butler St Etna ,15223 ,12/27/2011 ,NEW WELL ,40.49807 ,-79.94322 ,JERY MCCLOSKEY ,Tippins  ,MONITORING ,UNUSED ,29 ,0 ,20 ,2 , ,True , , , , , , , , ,Depth to bottom of bentonite seal = 18.5 ,
51700 ,ALLEGHENY ,BELL ACRES BORO ,EMSWORTH ,4 Hawthorn Acres ,15143 ,12/27/1966 ,NEW WELL ,40.5825 ,-80.18333 ,WILLIAM F ZIMMERMAN , FRIER ,WITHDRAWAL ,DOMESTIC ,161 ,0 ,44 ,6 ,43 ,False ,0.1 ,90 , , ,BAILER , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM229837") ,the well did not produce enough water and was plugged; pulled the casing. Plugged and filled to the top. ,
51700 ,ALLEGHENY ,BELL ACRES BORO ,EMSWORTH ,4 Hawthorn Acres ,15143 ,12/27/1966 ,NEW WELL ,40.5825 ,-80.18333 ,WILLIAM F ZIMMERMAN , FRIER ,ABANDONED ,UNUSED ,161 ,0 ,44 ,6 ,43 ,False ,0.1 ,90 , , ,BAILER , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM229837") ,the well did not produce enough water and was plugged; pulled the casing. Plugged and filled to the top. ,
511592 ,ALLEGHENY ,FINDLAY TWP. , ,S.R. 30 ,      ,12/26/2013 ,NEW WELL ,40.49367 ,-80.31163 , TERRA TESTING INC. ,Marada Golf Course ,MONITORING , ,23 ,0 ,8 ,2 , ,False , ,18 , , , , , , , ,
511593 ,ALLEGHENY ,FINDLAY TWP. , ,S.R. 30 ,      ,12/26/2013 ,NEW WELL ,40.49375 ,-80.31145 , TERRA TESTING INC. ,Marada Golf Course ,MONITORING , ,28 ,0 ,13 ,2 , ,False , ,23 , , , , , , , ,
